The Legend of Zelda: Breath of the Wild
Super Mario World
Portal 2
The Legend of Zelda: A Link to the Past
Super Metroid
Mass Effect 2
Super Mario 64
Red Dead Redemption 2
Half-Life 2
Disco Elysium
Super Mario Bros. 3
Grand Theft Auto V
Hades
Castlevania: Symphony of the Night
Halo 2
The Witcher 3: Wild Hunt
The Last of Us
BioShock
Bloodborne
Undertale
Super Mario Bros.
Street Fighter II
Portal
Chrono Trigger
God of War
Half-Life: Alyx
Metal Gear Solid 3: Snake Eater
Tetris
Doom
Final Fantasy XIV
Half-Life
Halo: Combat Evolved
Minecraft
The Legend of Zelda: Ocarina of Time
Sid Meier's Civilization IV
Metal Gear Solid
Red Dead Redemption
The Last of Us Part 2
Shadow of the Colossus
Resident Evil 4
The Elder Scrolls V: Skyrim
Metroid Prime
Pokémon Yellow
Final Fantasy VI
Fallout: New Vegas
Star Wars: Knights of the Old Republic
World of Warcraft
StarCraft
Diablo II
EarthBound
Left 4 Dead 2
Counter-Strike 1.6
Ms. Pac-Man
Hollow Knight
Apex Legends
Overwatch
Uncharted 2: Among Thieves
Journey
The Witness
Dishonored 2
Batman: Arkham City
Rise of the Tomb Raider
Call of Duty 4: Modern Warfare
Control
XCOM 2
Grand Theft Auto: San Andreas
Silent Hill 2
Super Mario World 2: Yoshi's Island
Splinter Cell: Chaos Theory
The Sims 3
Donkey Kong
Mario Kart 8 Deluxe
Dota 2
Return of the Obra Dinn
Spelunky 2
Super Smash Bros. Ultimate
GoldenEye 007
Fable 2
Fortnite
Dark Souls
Persona 5 Royal
Mortal Kombat 11
System Shock 2
Resident Evil 2 (Remake)
Monster Hunter: World
Tony Hawk's Pro Skater 2
Titanfall 2
Inside
SimCity 2000
Thief II: The Metal Age
Animal Crossing: New Horizons
Mega Man 3
League of Legends
Fallout 2
Burnout 3: Takedown
Monkey Island 2: LeChuck's Revenge
Assassin's Creed IV: Black Flag
Final Fantasy VII
Divinity: Original Sin 2
Borderlands 2
